"user_id","age_group","gender","location","preferred_categories","avg_order_value","total_orders","member_since","last_purchase_date"
"USR_000019","25-34","M","Chicago","CLOTHING|BOOKS|HOME","121,84","19","2023-10-13","2024-06-02"
"USR_000020","55-64","F","Los Angeles","CLOTHING|BOOKS|HOME","371,11","6","2023-01-03","2023-12-08"
"USR_000021","18-24","M","Houston","HOME|CLOTHING|BOOKS","497,57","16","2023-12-07","2024-05-19"
"USR_000022","25-34","M","New York","ELECTRONICS|BOOKS|HOME","131,63","38","2023-10-02","2024-08-14"
"USR_000023","55-64","M","Miami","BOOKS|CLOTHING|ELECTRONICS","308,51","29","2023-04-13","2024-04-14"
"USR_000024","45-54","M","Houston","CLOTHING|HOME|ELECTRONICS","358,65","1","2024-03-06","2024-11-19"
"USR_000025","25-34","M","Miami","BOOKS|HOME|ELECTRONICS","127,94","19","2023-06-01","2023-11-02"
"USR_000026","18-24","M","Miami","CLOTHING|ELECTRONICS|BOOKS","157,01","16","2023-12-26","2024-01-10"
"USR_000027","45-54","F","Miami","ELECTRONICS|BOOKS|HOME","262,38","26","2023-09-14","2023-12-12"
"USR_000028","25-34","M","Chicago","CLOTHING|HOME|ELECTRONICS","459,19","25","2024-06-26","2024-11-18"
"USR_000029","35-44","F","Chicago","BOOKS|ELECTRONICS|CLOTHING","144,71","10","2024-04-23","2024-10-27"
"USR_000030","25-34","M","New York","ELECTRONICS|CLOTHING|BOOKS","274,09","39","2023-05-26","2024-11-13"
"USR_000031","18-24","M","Chicago","HOME|CLOTHING|ELECTRONICS","205,18","21","2024-02-10","2024-09-20"
"USR_000032","45-54","F","Houston","CLOTHING|BOOKS|ELECTRONICS","417,09","26","2023-02-14","2023-10-18"
"USR_000033","18-24","F","Houston","CLOTHING|ELECTRONICS|HOME","167,91","10","2024-10-05","2024-11-10"
"USR_000034","45-54","F","Houston","BOOKS|CLOTHING|HOME","400,72","8","2024-07-27","2024-08-31"
"USR_000035","35-44","F","New York","ELECTRONICS|HOME|CLOTHING","433,48","7","2024-02-24","2024-06-25"
"USR_000036","25-34","F","New York","CLOTHING|HOME|BOOKS","377,32","29","2024-04-13","2024-11-28"
"USR_000037","45-54","F","Miami","CLOTHING|HOME|BOOKS","270,29","40","2024-11-23","2024-12-02"
"USR_000038","45-54","M","Houston","ELECTRONICS|HOME|BOOKS","337,92","9","2024-08-30","2024-11-17"
"USR_000039","65+","M","Houston","CLOTHING|ELECTRONICS|HOME","150,12","30","2023-03-19","2024-05-19"
"USR_000040","18-24","F","New York","BOOKS|CLOTHING|HOME","133,96","3","2023-02-02","2023-10-31"
"USR_000041","25-34","F","Houston","ELECTRONICS|BOOKS|CLOTHING","375,70","1","2024-09-06","2024-09-08"
"USR_000042","18-24","F","Chicago","HOME|ELECTRONICS|CLOTHING","400,84","44","2024-01-11","2024-01-31"
"USR_000043","45-54","M","Houston","HOME|CLOTHING|BOOKS","410,71","14","2023-04-12","2023-08-07"
"USR_000044","55-64","F","Houston","BOOKS|CLOTHING|HOME","75,00","39","2023-09-17","2024-05-18"
"USR_000045","25-34","M","Los Angeles","CLOTHING|HOME|ELECTRONICS","284,95","30","2024-01-26","2024-09-29"
"USR_000046","65+","F","Miami","ELECTRONICS|BOOKS|CLOTHING","258,59","14","2022-12-22","2023-01-08"
"USR_000047","25-34","M","Chicago","ELECTRONICS|CLOTHING|BOOKS","160,16","28","2024-12-05","2024-12-06"
"USR_000048","55-64","M","Chicago","HOME|CLOTHING|BOOKS","448,36","34","2023-11-24","2024-07-11"
"USR_000049","65+","F","Los Angeles","BOOKS|ELECTRONICS|CLOTHING","104,24","14","2024-02-05","2024-02-10"
"USR_000050","25-34","M","Miami","HOME|CLOTHING|ELECTRONICS","257,83","43","2024-08-24","2024-09-28"
"USR_000051","18-24","M","Chicago","ELECTRONICS|BOOKS|HOME","434,27","10","2024-06-03","2024-09-07"
"USR_000052","35-44","M","Houston","ELECTRONICS|HOME|BOOKS","74,33","17","2024-08-14","2024-08-19"
"USR_000053","35-44","M","Chicago","BOOKS|ELECTRONICS|HOME","401,15","50","2023-10-15","2024-10-01"
"USR_000054","65+","F","Miami","HOME|CLOTHING|BOOKS","55,13","46","2023-08-30","2023-11-28"
"USR_000055","18-24","M","Chicago","HOME|CLOTHING|BOOKS","301,29","31","2023-11-29","2024-09-18"
"USR_000056","25-34","M","New York","HOME|CLOTHING|BOOKS","129,13","3","2023-04-23","2023-12-16"
"USR_000057","65+","F","Los Angeles","HOME|CLOTHING|BOOKS","63,10","34","2023-01-25","2023-03-27"
"USR_000058","35-44","F","New York","BOOKS|CLOTHING|ELECTRONICS","183,19","28","2023-03-30","2024-04-28"
"USR_000059","25-34","M","Chicago","ELECTRONICS|CLOTHING|BOOKS","68,64","14","2023-09-08","2024-06-21"
"USR_000060","45-54","M","Miami","CLOTHING|ELECTRONICS|BOOKS","174,92","18","2024-12-03","2024-12-05"
"USR_000061","55-64","F","New York","CLOTHING|ELECTRONICS|HOME","183,42","7","2023-01-12","2023-06-06"
"USR_000062","45-54","M","Los Angeles","BOOKS|HOME|ELECTRONICS","475,73","43","2024-08-25","2024-10-13"
"USR_000063","35-44","M","New York","BOOKS|CLOTHING|HOME","279,51","37","2022-12-14","2023-11-14"
"USR_000064","65+","M","Chicago","ELECTRONICS|CLOTHING|HOME","161,01","15","2024-09-22","2024-10-07"
"USR_000065","55-64","M","Houston","CLOTHING|BOOKS|HOME","249,94","44","2024-01-12","2024-10-20"
"USR_000066","45-54","F","Miami","BOOKS|HOME|ELECTRONICS","76,30","26","2024-10-28","2024-11-17"
"USR_000067","25-34","F","Houston","BOOKS|HOME|CLOTHING","324,68","9","2024-09-14","2024-09-29"
"USR_000068","65+","F","Houston","ELECTRONICS|CLOTHING|BOOKS","71,35","5","2024-11-24","2024-12-03"
"USR_000069","45-54","M","Los Angeles","HOME|CLOTHING|ELECTRONICS","361,09","28","2024-07-30","2024-12-01"
"USR_000070","65+","M","New York","ELECTRONICS|BOOKS|CLOTHING","155,78","25","2023-06-15","2023-06-30"
"USR_000071","18-24","F","Houston","ELECTRONICS|CLOTHING|BOOKS","494,20","7","2024-02-03","2024-11-07"
"USR_000072","35-44","M","Miami","HOME|CLOTHING|ELECTRONICS","143,37","30","2023-11-24","2024-01-01"
"USR_000073","18-24","F","Miami","HOME|CLOTHING|BOOKS","244,57","22","2023-07-30","2023-11-08"
"USR_000074","65+","F","Chicago","ELECTRONICS|HOME|CLOTHING","113,71","26","2024-03-31","2024-10-25"
"USR_000075","55-64","F","New York","ELECTRONICS|BOOKS|HOME","494,26","4","2023-07-05","2024-03-04"
"USR_000076","25-34","F","New York","HOME|ELECTRONICS|BOOKS","83,06","15","2024-08-09","2024-10-02"
"USR_000077","55-64","F","Los Angeles","HOME|BOOKS|ELECTRONICS","253,55","42","2023-02-06","2024-05-27"
"USR_000078","55-64","F","New York","HOME|BOOKS|CLOTHING","88,41","21","2024-04-13","2024-11-15"
"USR_000079","65+","F","Los Angeles","ELECTRONICS|BOOKS|CLOTHING","53,98","7","2024-10-08","2024-10-11"
"USR_000080","25-34","F","Houston","ELECTRONICS|BOOKS|HOME","201,36","34","2023-03-27","2024-04-12"
"USR_000081","35-44","M","Los Angeles","BOOKS|ELECTRONICS|CLOTHING","65,39","13","2023-03-01","2023-05-02"
"USR_000082","55-64","F","Houston","CLOTHING|BOOKS|HOME","100,91","6","2023-02-23","2024-10-07"
"USR_000083","35-44","M","Chicago","CLOTHING|HOME|ELECTRONICS","497,36","21","2023-03-07","2024-05-01"
"USR_000084","45-54","M","New York","HOME|BOOKS|CLOTHING","196,83","15","2023-10-03","2024-06-09"
"USR_000085","65+","F","New York","HOME|CLOTHING|BOOKS","257,96","18","2024-06-08","2024-11-05"
"USR_000086","35-44","M","Los Angeles","ELECTRONICS|BOOKS|HOME","107,60","34","2024-01-03","2024-08-13"
"USR_000087","25-34","M","Houston","CLOTHING|HOME|ELECTRONICS","305,12","35","2023-05-11","2023-11-24"
"USR_000088","55-64","F","Los Angeles","ELECTRONICS|CLOTHING|BOOKS","309,61","38","2024-02-09","2024-10-16"
"USR_000089","35-44","F","New York","HOME|ELECTRONICS|BOOKS","238,41","10","2023-08-22","2024-10-22"
"USR_000090","18-24","F","Houston","ELECTRONICS|CLOTHING|BOOKS","286,71","5","2023-06-21","2024-06-02"
"USR_000091","25-34","F","Houston","BOOKS|HOME|CLOTHING","191,72","33","2023-06-12","2024-04-19"
"USR_000092","65+","F","New York","HOME|ELECTRONICS|BOOKS","121,67","35","2024-02-01","2024-10-17"
"USR_000093","35-44","F","New York","ELECTRONICS|BOOKS|CLOTHING","399,55","38","2024-01-16","2024-05-07"
"USR_000094","65+","M","New York","BOOKS|ELECTRONICS|CLOTHING","433,65","50","2024-08-10","2024-08-15"
"USR_000095","35-44","M","New York","HOME|CLOTHING|ELECTRONICS","372,35","30","2022-12-22","2023-06-05"
"USR_000096","55-64","F","Houston","BOOKS|CLOTHING|ELECTRONICS","178,37","35","2023-01-25","2023-07-08"
"USR_000097","65+","M","Los Angeles","BOOKS|ELECTRONICS|CLOTHING","178,74","32","2024-06-20","2024-08-01"
"USR_000098","55-64","F","Miami","BOOKS|CLOTHING|ELECTRONICS","489,98","42","2024-03-27","2024-07-11"
"USR_000099","25-34","M","Houston","CLOTHING|HOME|BOOKS","144,94","23","2024-07-05","2024-09-16"
"USR_000100","35-44","F","Miami","BOOKS|CLOTHING|HOME","356,27","38","2023-02-17","2023-07-08"
"USR_000101","55-64","M","Los Angeles","ELECTRONICS|CLOTHING|BOOKS","344,31","1","2024-02-19","2024-10-19"
"USR_000102","18-24","M","Chicago","BOOKS|HOME|ELECTRONICS","181,33","26","2022-12-16","2023-07-25"
"USR_000103","25-34","F","New York","HOME|ELECTRONICS|CLOTHING","462,28","18","2024-07-03","2024-07-06"
"USR_000104","45-54","F","Chicago","HOME|BOOKS|CLOTHING","152,26","19","2023-09-11","2024-02-27"
"USR_000105","45-54","F","Miami","HOME|ELECTRONICS|BOOKS","284,57","32","2023-06-06","2024-04-30"
"USR_000106","35-44","M","New York","CLOTHING|BOOKS|HOME","239,00","7","2023-03-31","2023-09-25"
"USR_000107","25-34","M","Miami","CLOTHING|HOME|ELECTRONICS","269,09","44","2023-04-07","2023-07-02"
"USR_000108","35-44","F","Chicago","BOOKS|CLOTHING|HOME","218,94","1","2024-02-28","2024-04-02"
"USR_000109","65+","M","Chicago","CLOTHING|ELECTRONICS|BOOKS","424,27","18","2024-08-28","2024-12-06"
"USR_000110","25-34","F","Los Angeles","CLOTHING|HOME|ELECTRONICS","480,38","17","2023-12-25","2024-11-18"
"USR_000111","18-24","M","New York","CLOTHING|BOOKS|ELECTRONICS","329,24","11","2024-01-07","2024-09-09"
"USR_000112","65+","M","Chicago","BOOKS|CLOTHING|HOME","421,38","17","2024-08-17","2024-09-19"
"USR_000113","18-24","F","Chicago","HOME|BOOKS|CLOTHING","93,70","18","2023-03-08","2023-09-18"
"USR_000114","35-44","M","New York","HOME|ELECTRONICS|CLOTHING","373,22","39","2023-12-14","2024-07-13"
"USR_000115","45-54","F","New York","ELECTRONICS|CLOTHING|BOOKS","367,86","13","2024-10-19","2024-10-27"
"USR_000116","65+","M","Chicago","ELECTRONICS|CLOTHING|BOOKS","490,02","46","2024-01-26","2024-08-29"
"USR_000117","25-34","F","Miami","HOME|ELECTRONICS|BOOKS","75,24","7","2024-06-17","2024-08-04"
"USR_000118","35-44","F","Miami","CLOTHING|BOOKS|ELECTRONICS","58,57","44","2024-11-13","2024-11-25"
"USR_000119","45-54","F","Miami","BOOKS|CLOTHING|HOME","103,66","7","2024-10-15","2024-11-12"
"USR_000120","55-64","F","New York","CLOTHING|HOME|ELECTRONICS","345,04","32","2024-06-23","2024-08-04"
"USR_000121","18-24","M","Houston","ELECTRONICS|BOOKS|CLOTHING","152,50","16","2023-06-02","2024-07-31"
"USR_000122","35-44","F","New York","BOOKS|CLOTHING|ELECTRONICS","257,63","15","2023-11-30","2024-01-31"
"USR_000123","25-34","F","Chicago","ELECTRONICS|CLOTHING|HOME","346,15","42","2023-09-07","2023-12-03"
"USR_000124","45-54","M","Houston","BOOKS|ELECTRONICS|HOME","316,83","38","2023-03-16","2023-06-24"
"USR_000125","18-24","F","Los Angeles","BOOKS|CLOTHING|HOME","437,01","45","2024-02-17","2024-09-24"
"USR_000126","45-54","M","Miami","ELECTRONICS|BOOKS|HOME","387,28","7","2023-11-01","2024-06-18"
"USR_000127","55-64","M","Miami","HOME|BOOKS|CLOTHING","332,95","32","2024-07-21","2024-08-23"
"USR_000128","18-24","M","Los Angeles","ELECTRONICS|HOME|BOOKS","137,92","1","2024-07-22","2024-10-23"
"USR_000129","65+","F","Miami","HOME|BOOKS|ELECTRONICS","397,40","23","2024-01-18","2024-06-14"
"USR_000130","35-44","M","Miami","ELECTRONICS|HOME|CLOTHING","59,51","48","2024-12-05","2024-12-06"
"USR_000131","18-24","M","Houston","CLOTHING|HOME|BOOKS","82,19","45","2023-09-05","2024-02-03"
"USR_000132","55-64","M","Los Angeles","BOOKS|HOME|ELECTRONICS","81,09","10","2023-09-01","2023-12-29"
"USR_000133","35-44","F","Miami","CLOTHING|BOOKS|HOME","316,16","45","2024-03-24","2024-04-10"
"USR_000134","65+","M","Chicago","BOOKS|ELECTRONICS|HOME","139,53","1","2023-11-13","2024-10-23"
"USR_000135","18-24","F","Miami","CLOTHING|BOOKS|ELECTRONICS","334,84","11","2024-11-13","2024-11-25"
"USR_000136","55-64","M","Miami","ELECTRONICS|CLOTHING|BOOKS","418,78","18","2023-08-11","2024-10-27"
"USR_000137","55-64","F","Miami","ELECTRONICS|HOME|BOOKS","448,92","3","2023-01-08","2024-06-12"
"USR_000138","55-64","F","Chicago","HOME|BOOKS|CLOTHING","437,77","37","2024-10-04","2024-10-17"
"USR_000139","55-64","M","Miami","HOME|BOOKS|CLOTHING","312,18","11","2024-02-28","2024-04-05"
"USR_000140","25-34","F","Los Angeles","HOME|CLOTHING|BOOKS","328,85","25","2024-09-22","2024-10-23"
"USR_000141","35-44","F","Miami","HOME|CLOTHING|ELECTRONICS","361,28","38","2023-09-15","2024-03-30"
"USR_000142","35-44","M","New York","BOOKS|HOME|ELECTRONICS","110,57","27","2024-10-14","2024-11-14"
"USR_000143","45-54","F","Houston","CLOTHING|HOME|BOOKS","263,25","28","2024-02-26","2024-06-19"
"USR_000144","55-64","M","Houston","BOOKS|CLOTHING|ELECTRONICS","71,59","4","2024-06-09","2024-10-06"
"USR_000145","25-34","F","Los Angeles","CLOTHING|HOME|ELECTRONICS","468,15","1","2023-08-23","2024-06-28"
"USR_000146","45-54","M","Los Angeles","ELECTRONICS|BOOKS|HOME","94,75","4","2024-12-01","2024-12-04"
"USR_000147","25-34","F","Chicago","CLOTHING|HOME|ELECTRONICS","477,39","30","2024-05-22","2024-10-02"
"USR_000148","55-64","M","Los Angeles","ELECTRONICS|CLOTHING|HOME","362,96","28","2022-12-07","2024-08-22"
"USR_000149","18-24","M","Houston","BOOKS|HOME|CLOTHING","150,68","19","2024-10-08","2024-11-04"
"USR_000150","55-64","F","New York","ELECTRONICS|HOME|BOOKS","150,90","34","2024-01-14","2024-10-23"
"USR_000151","45-54","M","Miami","CLOTHING|HOME|BOOKS","136,72","29","2024-08-30","2024-09-11"
"USR_000152","35-44","F","Los Angeles","HOME|BOOKS|CLOTHING","69,26","20","2024-03-13","2024-11-08"
"USR_000153","18-24","M","Los Angeles","CLOTHING|ELECTRONICS|HOME","325,70","25","2023-04-26","2023-11-14"
"USR_000154","18-24","F","Los Angeles","ELECTRONICS|BOOKS|CLOTHING","190,51","16","2023-08-03","2023-09-26"
"USR_000155","45-54","F","Miami","HOME|ELECTRONICS|CLOTHING","283,80","41","2024-05-06","2024-05-16"
"USR_000156","25-34","M","Chicago","CLOTHING|BOOKS|ELECTRONICS","97,93","31","2024-01-06","2024-04-05"
"USR_000157","55-64","F","Houston","BOOKS|HOME|ELECTRONICS","342,68","2","2024-01-19","2024-11-07"
"USR_000158","25-34","F","Chicago","ELECTRONICS|BOOKS|CLOTHING","261,85","33","2023-05-14","2024-08-22"
"USR_000159","18-24","M","New York","ELECTRONICS|HOME|CLOTHING","329,20","1","2023-02-01","2023-07-20"
"USR_000160","35-44","F","Chicago","BOOKS|ELECTRONICS|HOME","209,79","2","2024-04-17","2024-08-18"
"USR_000161","25-34","M","Houston","BOOKS|CLOTHING|ELECTRONICS","233,27","29","2023-02-02","2024-01-01"
"USR_000162","35-44","M","New York","HOME|BOOKS|ELECTRONICS","319,66","38","2024-02-15","2024-03-04"
"USR_000163","35-44","M","New York","CLOTHING|ELECTRONICS|HOME","474,20","26","2023-01-31","2023-10-24"
"USR_000164","65+","M","Miami","CLOTHING|ELECTRONICS|HOME","227,43","43","2023-02-14","2024-03-16"
"USR_000165","65+","M","Houston","CLOTHING|HOME|ELECTRONICS","438,34","46","2023-08-25","2023-10-19"
"USR_000166","45-54","M","Los Angeles","CLOTHING|ELECTRONICS|BOOKS","453,62","36","2024-09-07","2024-09-30"
"USR_000167","55-64","F","Chicago","CLOTHING|BOOKS|HOME","373,46","10","2023-05-24","2024-07-16"
"USR_000168","45-54","F","Los Angeles","BOOKS|HOME|ELECTRONICS","464,99","5","2023-05-28","2024-07-27"
"USR_000169","45-54","M","Chicago","BOOKS|ELECTRONICS|CLOTHING","137,59","22","2023-08-30","2024-05-30"
"USR_000170","25-34","F","Miami","HOME|BOOKS|ELECTRONICS","450,64","48","2023-01-13","2024-08-09"
"USR_000171","45-54","F","New York","HOME|CLOTHING|ELECTRONICS","112,80","43","2023-02-25","2023-03-05"
"USR_000172","18-24","F","Los Angeles","BOOKS|HOME|CLOTHING","254,17","27","2024-07-11","2024-10-24"
"USR_000173","65+","F","Houston","ELECTRONICS|BOOKS|HOME","256,69","38","2024-05-31","2024-10-06"
"USR_000174","45-54","M","Houston","BOOKS|ELECTRONICS|HOME","265,87","37","2023-03-02","2023-10-04"
"USR_000175","35-44","M","New York","ELECTRONICS|CLOTHING|HOME","126,96","48","2024-05-31","2024-09-26"
"USR_000176","65+","F","New York","HOME|CLOTHING|BOOKS","191,60","8","2022-12-22","2023-09-22"
"USR_000177","55-64","M","New York","BOOKS|CLOTHING|HOME","126,93","26","2024-03-05","2024-11-02"
"USR_000178","18-24","F","Miami","BOOKS|ELECTRONICS|CLOTHING","277,56","49","2024-11-23","2024-11-30"
"USR_000179","35-44","M","New York","ELECTRONICS|BOOKS|CLOTHING","282,39","43","2023-09-18","2024-06-27"
"USR_000180","55-64","M","Miami","HOME|CLOTHING|BOOKS","232,38","9","2024-09-03","2024-09-14"
"USR_000181","18-24","M","New York","HOME|BOOKS|ELECTRONICS","172,48","31","2023-12-24","2024-04-11"
"USR_000182","65+","F","Los Angeles","ELECTRONICS|CLOTHING|BOOKS","200,72","23","2024-08-30","2024-09-30"
"USR_000183","35-44","F","Chicago","ELECTRONICS|CLOTHING|HOME","150,19","39","2024-04-06","2024-08-30"
"USR_000184","55-64","M","Chicago","ELECTRONICS|HOME|CLOTHING","155,04","36","2024-04-28","2024-11-13"
"USR_000185","35-44","M","New York","ELECTRONICS|CLOTHING|HOME","50,10","13","2022-12-21","2023-02-12"
"USR_000186","55-64","F","Los Angeles","ELECTRONICS|CLOTHING|HOME","484,49","14","2024-06-11","2024-10-31"
"USR_000187","45-54","M","Miami","BOOKS|ELECTRONICS|HOME","243,91","23","2023-05-10","2023-06-19"
"USR_000188","65+","M","Chicago","HOME|ELECTRONICS|CLOTHING","372,70","8","2023-09-12","2024-11-10"
"USR_000189","25-34","M","Houston","HOME|BOOKS|ELECTRONICS","116,45","19","2024-03-13","2024-05-01"
"USR_000190","45-54","F","New York","ELECTRONICS|HOME|BOOKS","118,38","36","2023-07-28","2024-07-01"
"USR_000191","65+","M","Los Angeles","ELECTRONICS|HOME|BOOKS","397,58","21","2023-10-18","2024-06-01"
"USR_000192","55-64","F","New York","BOOKS|CLOTHING|ELECTRONICS","165,54","40","2023-06-06","2024-05-03"
"USR_000193","18-24","F","Miami","ELECTRONICS|CLOTHING|BOOKS","147,93","29","2023-12-18","2024-05-08"
"USR_000194","65+","F","Miami","HOME|BOOKS|CLOTHING","72,25","24","2023-01-30","2023-12-04"
"USR_000195","18-24","M","Miami","ELECTRONICS|CLOTHING|HOME","458,61","24","2023-04-28","2023-06-13"
"USR_000196","65+","M","New York","BOOKS|CLOTHING|HOME","309,62","15","2023-05-29","2024-01-02"
"USR_000197","45-54","F","Houston","HOME|BOOKS|ELECTRONICS","488,03","37","2023-08-15","2024-05-11"
"USR_000198","35-44","F","New York","CLOTHING|HOME|BOOKS","445,13","3","2024-11-12","2024-11-30"
"USR_000199","25-34","F","Miami","BOOKS|CLOTHING|HOME","370,85","33","2023-06-14","2023-09-08"
"USR_000200","45-54","F","New York","BOOKS|CLOTHING|HOME","426,86","40","2024-11-02","2024-11-12"
"USR_000201","55-64","F","Los Angeles","CLOTHING|ELECTRONICS|HOME","447,27","10","2023-10-19","2024-05-10"
"USR_000202","18-24","F","Los Angeles","CLOTHING|BOOKS|HOME","97,75","38","2024-07-06","2024-10-02"
"USR_000203","18-24","F","Houston","CLOTHING|ELECTRONICS|BOOKS","322,64","1","2023-05-23","2024-05-26"
"USR_000204","25-34","M","New York","BOOKS|ELECTRONICS|HOME","281,44","14","2024-03-05","2024-09-06"
"USR_000205","55-64","F","Houston","ELECTRONICS|BOOKS|HOME","480,61","10","2023-11-21","2024-11-07"
"USR_000206","35-44","F","Miami","HOME|CLOTHING|BOOKS","343,93","30","2023-11-11","2024-07-24"
"USR_000207","25-34","F","Miami","HOME|CLOTHING|ELECTRONICS","284,88","7","2024-07-04","2024-08-12"
"USR_000208","35-44","M","Chicago","CLOTHING|HOME|ELECTRONICS","297,43","37","2024-06-25","2024-07-12"
"USR_000209","18-24","M","Houston","BOOKS|CLOTHING|HOME","267,50","50","2024-05-11","2024-08-07"
"USR_000210","18-24","F","New York","HOME|CLOTHING|BOOKS","325,75","8","2024-01-10","2024-02-10"
"USR_000211","65+","F","Los Angeles","BOOKS|ELECTRONICS|CLOTHING","64,18","6","2023-07-04","2024-08-23"
"USR_000212","45-54","F","Los Angeles","HOME|ELECTRONICS|CLOTHING","172,68","10","2024-07-04","2024-08-30"
"USR_000213","65+","F","Chicago","HOME|ELECTRONICS|CLOTHING","119,31","46","2024-09-18","2024-11-03"
"USR_000214","45-54","M","New York","CLOTHING|ELECTRONICS|HOME","497,46","1","2023-08-12","2023-08-30"
"USR_000215","35-44","M","Miami","CLOTHING|HOME|BOOKS","96,05","37","2023-04-24","2024-05-08"
"USR_000216","45-54","F","Miami","HOME|CLOTHING|ELECTRONICS","314,07","28","2023-10-20","2024-01-05"
"USR_000217","18-24","F","Miami","CLOTHING|HOME|ELECTRONICS","89,49","4","2024-02-15","2024-08-26"
"USR_000218","25-34","F","Los Angeles","ELECTRONICS|HOME|BOOKS","493,24","15","2023-05-15","2023-10-02"
"USR_000219","25-34","F","Miami","ELECTRONICS|HOME|CLOTHING","53,07","28","2024-01-31","2024-09-30"
"USR_000220","45-54","F","Chicago","HOME|ELECTRONICS|CLOTHING","468,99","45","2024-03-30","2024-06-28"
"USR_000221","25-34","M","Los Angeles","BOOKS|CLOTHING|HOME","161,15","37","2023-06-22","2023-06-23"
"USR_000222","55-64","F","Los Angeles","ELECTRONICS|CLOTHING|BOOKS","153,68","45","2022-12-27","2023-08-02"
"USR_000223","25-34","M","Houston","CLOTHING|BOOKS|HOME","443,17","46","2024-08-10","2024-10-17"
"USR_000224","65+","M","Houston","HOME|CLOTHING|ELECTRONICS","278,15","38","2024-02-07","2024-07-11"
"USR_000225","55-64","M","Chicago","CLOTHING|BOOKS|ELECTRONICS","387,15","11","2023-12-02","2024-01-20"
"USR_000226","45-54","M","Miami","HOME|CLOTHING|ELECTRONICS","336,16","22","2023-08-13","2024-05-07"
"USR_000227","65+","F","Los Angeles","CLOTHING|HOME|ELECTRONICS","222,91","48","2023-10-04","2024-09-14"
"USR_000228","55-64","F","Miami","CLOTHING|HOME|BOOKS","174,64","7","2022-12-20","2023-10-03"
"USR_000229","35-44","F","Chicago","CLOTHING|BOOKS|HOME","307,87","41","2024-08-27","2024-10-04"
"USR_000230","55-64","F","Los Angeles","HOME|ELECTRONICS|CLOTHING","133,88","19","2023-12-27","2024-01-23"
"USR_000231","55-64","M","Houston","ELECTRONICS|HOME|CLOTHING","100,81","28","2024-03-17","2024-03-24"
"USR_000232","55-64","M","New York","HOME|ELECTRONICS|BOOKS","154,29","16","2024-07-06","2024-08-30"
"USR_000233","55-64","M","Miami","CLOTHING|ELECTRONICS|HOME","121,36","17","2023-03-31","2024-02-10"
"USR_000234","25-34","M","Los Angeles","ELECTRONICS|HOME|CLOTHING","178,78","29","2024-02-25","2024-05-07"
"USR_000235","45-54","M","New York","CLOTHING|BOOKS|ELECTRONICS","55,70","9","2024-06-03","2024-11-12"
"USR_000236","35-44","M","New York","HOME|CLOTHING|BOOKS","242,37","48","2024-02-23","2024-05-26"
"USR_000237","65+","M","Houston","BOOKS|HOME|ELECTRONICS","231,14","8","2023-11-30","2024-10-11"
"USR_000238","65+","M","Houston","CLOTHING|BOOKS|ELECTRONICS","103,22","48","2024-11-01","2024-11-28"
"USR_000239","45-54","M","New York","CLOTHING|BOOKS|HOME","295,15","45","2023-05-11","2024-09-28"
